"HOOD_158","neighbourhood_name","TSNS.DESIGNATION"
"001","West Humber-Clairville","Not an NIA or Emerging Neighbourhood"
"002","Mount Olive-Silverstone-Jamestown","Neighbourhood Improvement Area"
"003","Thistletown-Beaumond Heights","Neighbourhood Improvement Area"
"004","Rexdale-Kipling","Not an NIA or Emerging Neighbourhood"
"005","Elms-Old Rexdale","Neighbourhood Improvement Area"
"006","Kingsview Village-The Westway","Neighbourhood Improvement Area"
"007","Willowridge-Martingrove-Richview","Not an NIA or Emerging Neighbourhood"
"008","Humber Heights-Westmount","Emerging Neighbourhood"
"009","Edenbridge-Humber Valley","Not an NIA or Emerging Neighbourhood"
"010","Princess-Rosethorn","Not an NIA or Emerging Neighbourhood"
"011","Eringate-Centennial-West Deane","Not an NIA or Emerging Neighbourhood"
"012","Markland Wood","Not an NIA or Emerging Neighbourhood"
"013","Etobicoke West Mall","Not an NIA or Emerging Neighbourhood"
"015","Kingsway South","Not an NIA or Emerging Neighbourhood"
"016","Stonegate-Queensway","Not an NIA or Emerging Neighbourhood"
"018","New Toronto","Not an NIA or Emerging Neighbourhood"
"019","Long Branch","Not an NIA or Emerging Neighbourhood"
"020","Alderwood","Not an NIA or Emerging Neighbourhood"
"021","Humber Summit","Neighbourhood Improvement Area"
"022","Humbermede","Neighbourhood Improvement Area"
"023","Pelmo Park-Humberlea","Not an NIA or Emerging Neighbourhood"
"024","Black Creek","Neighbourhood Improvement Area"
"025","Glenfield-Jane Heights","Neighbourhood Improvement Area"
"027","York University Heights","Neighbourhood Improvement Area"
"028","Rustic","Neighbourhood Improvement Area"
"029","Maple Leaf","Not an NIA or Emerging Neighbourhood"
"030","Brookhaven-Amesbury","Not an NIA or Emerging Neighbourhood"
"031","Yorkdale-Glen Park","Emerging Neighbourhood"
"032","Englemount-Lawrence","Emerging Neighbourhood"
"033","Clanton Park","Not an NIA or Emerging Neighbourhood"
"034","Bathurst Manor","Not an NIA or Emerging Neighbourhood"
"035","Westminster-Branson","Emerging Neighbourhood"
"036","Newtonbrook West","Not an NIA or Emerging Neighbourhood"
"037","Willowdale West","Not an NIA or Emerging Neighbourhood"
"038","Lansing-Westgate","Not an NIA or Emerging Neighbourhood"
"039","Bedford Park-Nortown","Not an NIA or Emerging Neighbourhood"
"040","St.Andrew-Windfields","Not an NIA or Emerging Neighbourhood"
"041","Bridle Path-Sunnybrook-York Mills","Not an NIA or Emerging Neighbourhood"
"042","Banbury-Don Mills","Not an NIA or Emerging Neighbourhood"
"043","Victoria Village","Neighbourhood Improvement Area"
"044","Flemingdon Park","Neighbourhood Improvement Area"
"046","Pleasant View","Not an NIA or Emerging Neighbourhood"
"047","Don Valley Village","Not an NIA or Emerging Neighbourhood"
"048","Hillcrest Village","Not an NIA or Emerging Neighbourhood"
"049","Bayview Woods-Steeles","Not an NIA or Emerging Neighbourhood"
"050","Newtonbrook East","Not an NIA or Emerging Neighbourhood"
"052","Bayview Village","Not an NIA or Emerging Neighbourhood"
"053","Henry Farm","Not an NIA or Emerging Neighbourhood"
"054","O`Connor Parkview","Not an NIA or Emerging Neighbourhood"
"055","Thorncliffe Park","Neighbourhood Improvement Area"
"056","Leaside-Bennington","Not an NIA or Emerging Neighbourhood"
"057","Broadview North","Not an NIA or Emerging Neighbourhood"
"058","Old East York","Not an NIA or Emerging Neighbourhood"
"059","Danforth-East York","Not an NIA or Emerging Neighbourhood"
"060","Woodbine-Lumsden","Not an NIA or Emerging Neighbourhood"
"061","Taylor Massey","Neighbourhood Improvement Area"
"062","East End Danforth","Not an NIA or Emerging Neighbourhood"
"063","The Beaches","Not an NIA or Emerging Neighbourhood"
"064","Woodbine Corridor","Not an NIA or Emerging Neighbourhood"
"065","Greenwood-Coxwell","Not an NIA or Emerging Neighbourhood"
"066","Danforth","Not an NIA or Emerging Neighbourhood"
"067","Playter Estates-Danforth","Not an NIA or Emerging Neighbourhood"
"068","North Riverdale","Not an NIA or Emerging Neighbourhood"
"069","Blake-Jones","Not an NIA or Emerging Neighbourhood"
"070","South Riverdale","Not an NIA or Emerging Neighbourhood"
"071","Cabbagetown-South St. James Town","Not an NIA or Emerging Neighbourhood"
"072","Regent Park","Neighbourhood Improvement Area"
"073","Moss Park","Not an NIA or Emerging Neighbourhood"
"074","North St. James Town","Not an NIA or Emerging Neighbourhood"
"078","Kensington-Chinatown","Not an NIA or Emerging Neighbourhood"
"079","University","Not an NIA or Emerging Neighbourhood"
"080","Palmerston-Little Italy","Not an NIA or Emerging Neighbourhood"
"081","Trinity-Bellwoods","Not an NIA or Emerging Neighbourhood"
"083","Dufferin Grove","Not an NIA or Emerging Neighbourhood"
"084","Little Portugal","Not an NIA or Emerging Neighbourhood"
"085","South Parkdale","Neighbourhood Improvement Area"
"086","Roncesvalles","Not an NIA or Emerging Neighbourhood"
"087","High Park-Swansea","Not an NIA or Emerging Neighbourhood"
"088","High Park North","Not an NIA or Emerging Neighbourhood"
"089","Runnymede-Bloor West Village","Not an NIA or Emerging Neighbourhood"
"090","Junction Area","Not an NIA or Emerging Neighbourhood"
"091","Weston-Pelham Park","Neighbourhood Improvement Area"
"092","Corso Italia-Davenport","Not an NIA or Emerging Neighbourhood"
"094","Wychwood","Not an NIA or Emerging Neighbourhood"
"095","Annex","Not an NIA or Emerging Neighbourhood"
"096","Casa Loma","Not an NIA or Emerging Neighbourhood"
"097","Yonge-St. Clair","Not an NIA or Emerging Neighbourhood"
"098","Rosedale-Moore Park","Not an NIA or Emerging Neighbourhood"
"099","Mount Pleasant East","Not an NIA or Emerging Neighbourhood"
"100","Yonge-Eglinton","Not an NIA or Emerging Neighbourhood"
"101","Forest Hill South","Not an NIA or Emerging Neighbourhood"
"102","Forest Hill North","Not an NIA or Emerging Neighbourhood"
"103","Lawrence Park South","Not an NIA or Emerging Neighbourhood"
"105","Lawrence Park North","Not an NIA or Emerging Neighbourhood"
"106","Humewood-Cedarvale","Not an NIA or Emerging Neighbourhood"
"107","Oakwood Village","Not an NIA or Emerging Neighbourhood"
"108","Briar Hill-Belgravia","Not an NIA or Emerging Neighbourhood"
"109","Caledonia-Fairbank","Not an NIA or Emerging Neighbourhood"
"110","Keelesdale-Eglinton West","Neighbourhood Improvement Area"
"111","Rockcliffe-Smythe","Neighbourhood Improvement Area"
"112","Beechborough-Greenbrook","Neighbourhood Improvement Area"
"113","Weston","Neighbourhood Improvement Area"
"114","Lambton Baby Point","Not an NIA or Emerging Neighbourhood"
"115","Mount Dennis","Neighbourhood Improvement Area"
"116","Steeles","Emerging Neighbourhood"
"118","Tam O'Shanter-Sullivan","Not an NIA or Emerging Neighbourhood"
"119","Wexford/Maryvale","Not an NIA or Emerging Neighbourhood"
"120","Clairlea-Birchmount","Not an NIA or Emerging Neighbourhood"
"121","Oakridge","Neighbourhood Improvement Area"
"122","Birchcliffe-Cliffside","Not an NIA or Emerging Neighbourhood"
"123","Cliffcrest","Not an NIA or Emerging Neighbourhood"
"124","Kennedy Park","Neighbourhood Improvement Area"
"125","Ionview","Neighbourhood Improvement Area"
"126","Dorset Park","Emerging Neighbourhood"
"128","Agincourt South-Malvern West","Not an NIA or Emerging Neighbourhood"
"129","Agincourt North","Not an NIA or Emerging Neighbourhood"
"130","Milliken","Not an NIA or Emerging Neighbourhood"
"133","Centennial Scarborough","Not an NIA or Emerging Neighbourhood"
"134","Highland Creek","Not an NIA or Emerging Neighbourhood"
"135","Morningside","Neighbourhood Improvement Area"
"136","West Hill","Neighbourhood Improvement Area"
"138","Eglinton East","Neighbourhood Improvement Area"
"139","Scarborough Village","Neighbourhood Improvement Area"
"140","Guildwood","Not an NIA or Emerging Neighbourhood"
"141","Golfdale-Cedarbrae-Woburn","Neighbourhood Improvement Area (formerly Woburn)"
"142","Woburn North","Neighbourhood Improvement Area (formerly Woburn)"
"143","West Rouge","Not an NIA or Emerging Neighbourhood"
"144","Morningside Heights","Not an NIA or Emerging Neighbourhood"
"145","Malvern West","Emerging Neighbourhood"
"146","Malvern East","Emerging Neighbourhood"
"147","L'Amoreaux West","Emerging Neighbourhood"
"148","East L'Amoreaux","Emerging Neighbourhood"
"149","Parkwoods-O'Connor Hills","Not an NIA or Emerging Neighbourhood"
"150","Fenside-Parkwoods","Not an NIA or Emerging Neighbourhood"
"151","Yonge-Doris","Not an NIA or Emerging Neighbourhood"
"152","East Willowdale","Not an NIA or Emerging Neighbourhood"
"153","Avondale","Not an NIA or Emerging Neighbourhood"
"154","Oakdale-Beverley Heights","Neighbourhood Improvement Area (formerly Downsview-Roding-CFB)"
"155","Downsview","Neighbourhood Improvement Area (formerly Downsview-Roding-CFB)"
"156","Bendale-Glen Andrew","Not an NIA or Emerging Neighbourhood"
"157","Bendale South","Not an NIA or Emerging Neighbourhood"
"158","Islington","Not an NIA or Emerging Neighbourhood"
"159","Etobicoke City Centre","Not an NIA or Emerging Neighbourhood"
"160","Mimico-Queensway","Not an NIA or Emerging Neighbourhood"
"161","Humber Bay Shores","Not an NIA or Emerging Neighbourhood"
"162","West Queen West","Not an NIA or Emerging Neighbourhood"
"163","Fort York-Liberty Village","Not an NIA or Emerging Neighbourhood"
"164","Wellington Place","Not an NIA or Emerging Neighbourhood"
"165","Harbourfront-CityPlace","Not an NIA or Emerging Neighbourhood"
"166","St Lawrence-East Bayfront-The Islands","Not an NIA or Emerging Neighbourhood"
"167","Church-Wellesley","Not an NIA or Emerging Neighbourhood"
"168","Downtown Yonge East","Not an NIA or Emerging Neighbourhood"
"169","Bay-Cloverhill","Not an NIA or Emerging Neighbourhood"
"170","Yonge-Bay Corridor","Not an NIA or Emerging Neighbourhood"
"171","Junction-Wallace Emerson","Not an NIA or Emerging Neighbourhood"
"172","Dovercourt Village","Not an NIA or Emerging Neighbourhood"
"173","North Toronto","Not an NIA or Emerging Neighbourhood"
"174","South Eglinton-Davisville","Not an NIA or Emerging Neighbourhood"
